HS - Combined  Product Code,HS - Combined  Product Description,HS 2012 Product Code,HS 2012 Product Description
020840,"020840 -- (2002-) - Of whales, dolphins and porpoises (mammals of the order Cetacea); of manatees and dugongs (mammals of the order Sirenia); of seals, sea lions and walruses (mammals of the suborder Pinnipedia)",020840,"Of whales, dolphins and porpoises (mammals of the order Cetacea); of manatees and dugongs (mammals of the order Sirenia); of seals, sea lions and walruses (mammals of the suborder Pinnipedia)"
020850,020850 -- (2002-) - Of reptiles (including snakes and turtles),020850,Of reptiles (including snakes and turtles)
020860,020860 -- (2012-) - Of camels and other camelids (Camelidae),020860,Of camels and other camelids (Camelidae)
020890,020890 --  - Other,020890,Other
020910,020910 -- (2012-) - Of pigs,020910,Of pigs
020990,020990 -- (2012-) - Other,020990,Other
021011,"021011 --  -- Hams, shoulders and cuts thereof, with bone in",021011,"Hams, shoulders and cuts thereof, with bone in"
021012,021012 --  -- Bellies (streaky) and cuts thereof,021012,Bellies (streaky) and cuts thereof
021019,021019 --  -- Other,021019,Other
021020,021020 --  - Meat of bovine animals,021020,Meat of bovine animals
021091,021091 -- (2002-) -- Of primates,021091,Of primates
021092,"021092 -- (2002-) -- Of whales, dolphins and porpoises (mammals of the order Cetacea); of manatees and dugongs (mammals of the order Sirenia); of seals, sea lions and walruses (mammals of the suborder Pinnipedia)",021092,"Of whales, dolphins and porpoises (mammals of the order Cetacea); of manatees and dugongs (mammals of the order Sirenia); of seals, sea lions and walruses (mammals of the suborder Pinnipedia)"
021093,021093 -- (2002-) -- Of reptiles (including snakes and turtles),021093,Of reptiles (including snakes and turtles)
021099,021099 -- (2002-) -- Other,021099,Other
030111,030111 -- (2012-) -- Freshwater fish,030111,Freshwater
030119,030119 -- (2012-) -- Other,030119,Other
030191,"030191 --  -- Trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster)",030191,"Trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster)"
030192,030192 --  -- Eels (Anguilla spp.),030192,Eels (Anguilla spp.)
030193,"030193 --  -- Carp (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.)",030193,"Carp (Cyprinus carpio, Carassius carassius, Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus)"
030194,"030194 -- (2007-) -- Atlantic and Pacific bluefin tuna (Thunnus thynnus, Thunnus orientalis)",030194,"Atlantic and Pacific bluefin tunas (Thunnus thynnus, Thunnus orientalis)"
030195,030195 -- (2007-) -- Southern bluefin tuna (Thunnus maccoyii),030195,Southern bluefin tunas (Thunnus maccoyii)
030199,030199 --  -- Other,030199,Other
030211,"030211 --  -- Trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster)",030211,"Trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster)"
030213,"030213 -- (2012-) -- Pacific salmon (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus)",030213,"Pacific salmon (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus)"
030214,030214 -- (2012-) -- Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho),030214,Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho)
030219,030219 --  -- Other,030219,Other
030221,"030221 --  -- Halibut (Reinhardtius hippoglossoides, Hippoglossus hippoglossus, Hippoglossus stenolepis)",030221,"Halibut (Reinhardtius hippoglossoides, Hippoglossus hippoglossus, Hippoglossus stenolepis)"
030222,030222 --  -- Plaice (Pleuronectes platessa),030222,Plaice (Pleuronectes platessa)
030223,030223 --  -- Sole (Solea spp.),030223,Sole (Solea spp.)
030224,030224 -- (2012-) -- Turbots (Psetta maxima),030224,Turbots (Psetta maxima)
030229,030229 --  -- Other,030229,Other
030231,030231 --  -- Albacore or longfinned tuna (Thunnus alalunga),030231,Albacore or longfinned tunas (Thunnus alalunga)
030232,030232 --  -- Yellowfin tuna (Thunnus albacares),030232,Yellowfin tunas (Thunnus albacares)
030233,030233 --  -- Skipjack or stripe-bellied bonito,030233,Skipjack or stripe-bellied bonito
030234,030234 -- (2002-) -- Bigeye tuna (Thunnus obesus),030234,Bigeye tunas (Thunnus obesus)
030235,"030235 -- (2002-) -- Atlantic and Pacific bluefin tuna (Thunnus thynnus, Thunnus orientalis)",030235,"Atlantic and Pacific bluefin tunas (Thunnus thynnus, Thunnus orientalis)"
030236,030236 -- (2002-) -- Southern bluefin tuna (Thunnus maccoyii),030236,Southern bluefin tunas (Thunnus maccoyii)
030239,030239 --  -- Other,030239,Other
030241,"030241 -- (2012-) -- Herrings (Clupea harengus, Clupea pallasii)",030241,"Herrings (Clupea harengus, Clupea pallasii)"
030242,030242 -- (2012-) -- Anchovies (Engraulis spp.),030242,Anchovies (Engraulis spp.)
030243,"030243 -- (2012-) -- Sardines (Sardina pilchardus, Sardinops spp.), sardinella (Sardinella spp.), brisling or sprats (Sprattus sprattus)",030243,"Sardines (Sardina pilchardus, Sardinops spp.), sardinella (Sardinella spp.), brisling or sprats (Sprattus sprattus)"
030244,"030244 -- (2012-) -- Mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus)",030244,"Mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus)"
030245,030245 -- (2012-) -- Jack and horse mackerel (Trachurus spp.),030245,Jack and horse mackerel (Trachurus spp.)
030246,030246 -- (2012-) -- Cobia (Rachycentron canadum),030246,Cobia (Rachycentron canadum)
030247,030247 -- (2012-) -- Swordfish (Xiphias gladius),030247,Swordfish (Xiphias gladius)
030251,"030251 -- (2012-) -- Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus)",030251,"Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus)"
030252,030252 -- (2012-) -- Haddock (Melanogrammus aeglefinus),030252,Haddock (Melanogrammus aeglefinus)
030253,030253 -- (2012-) -- Coalfish (Pollachius virens),030253,Coalfish (Pollachius virens)
030254,"030254 -- (2012-) -- Hake (Merluccius spp., Urophycis spp.)",030254,"Hake (Merluccius spp., Urophycis spp.)"
030255,030255 -- (2012-) -- Alaska pollock (Theragra chalcogramma),030255,Alaska Pollack (Theragra chalcogramma)
030256,"030256 -- (2012-) -- Blue whiting (Micromesistius poutassou, Micromesistius australis)",030256,"Blue whitings (Micromesistius poutassou, Micromesistius australis)"
030259,030259 -- (2012-) -- Other,030259,Other
030271,030271 -- (2012-) -- Tilapias (Oreochromis spp.),030271,Tilapias (Oreochromis spp.)
030272,"030272 -- (2012-) -- Catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.)",030272,"Catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.)"
030273,"030273 -- (2012-) -- Carp (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.)",030273,"Carp (Cyprinus carpio, Carassius carassius, Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus)"
030274,030274 -- (2012-) -- Eels (Anguilla spp.),030274,Eels (Anguilla spp.)
030279,030279 -- (2012-) -- Other,030279,Other
030281,030281 -- (2012-) -- Dogfish and other sharks,030281,Dogfish and other sharks
030282,030282 -- (2012-) -- Rays and skates (Rajidae),030282,Rays and skates (Rajidae)
030283,030283 -- (2012-) -- Toothfish (Dissostichus spp.),030283,Toothfish (Dissostichus spp.)
030284,030284 -- (2012-) -- Sea bass (Dicentrarchus spp.),030284,Seabass (Dicentrarchus spp.)
030285,030285 -- (2012-) -- Sea bream (Sparidae),030285,Seabream (Sparidae)
030289,030289 -- (2012-) -- Other,030289,Other
030290,030290 -- (2012-2016) - Livers and roes,030290,Livers and roes
030311,030311 -- (2002-) -- Sockeye salmon (red salmon) (Oncorhynchus nerka),030311,Sockeye salmon (red salmon) (Oncorhynchus nerka)
030312,"030312 -- (2012-) -- Other Pacific salmon (Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus)",030312,"Other Pacific salmon (Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus)"
030313,030313 -- (2012-) -- Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho),030313,Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho)
030314,"030314 -- (2012-) -- Trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster)",030314,"Trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster)"
030319,030319 -- (2002-) -- Other,030319,Other
030323,030323 -- (2012-) -- Tilapias (Oreochromis spp.),030323,Tilapias (Oreochromis spp.)
030324,"030324 -- (2012-) -- Catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.)",030324,"Catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.)"
030325,"030325 -- (2012-) -- Carp (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.)",030325,"Carp (Cyprinus carpio, Carassius carassius, Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus)"
030326,030326 -- (2012-) -- Eels (Anguilla spp.),030326,Eels (Anguilla spp.)
030329,030329 --  -- Other,030329,Other
030331,"030331 --  -- Halibut (Reinhardtius hippoglossoides, Hippoglossus hippoglossus, Hippoglossus stenolepis)",030331,"Halibut (Reinhardtius hippoglossoides, Hippoglossus hippoglossus, Hippoglossus stenolepis)"
030332,030332 --  -- Plaice (Pleuronectes platessa),030332,Plaice (Pleuronectes platessa)
030333,030333 --  -- Sole (Solea spp.),030333,Sole (Solea spp.)
030334,030334 -- (2012-) -- Turbots (Psetta maxima),030334,Turbots (Psetta maxima)
030339,030339 --  -- Other,030339,Other
030341,030341 --  -- Albacore or longfinned tuna (Thunnus alalunga),030341,Albacore or longfinned tunas (Thunnus alalunga)
030342,030342 --  -- Yellowfin tuna (Thunnus albacares),030342,Yellowfin tunas (Thunnus albacares)
030343,030343 --  -- Skipjack or stripe-bellied bonito,030343,Skipjack or strip-bellied bonito
030344,030344 -- (2002-) -- Bigeye tuna (Thunnus obesus),030344,Bigeye tunas (Thunnus obesus)
030345,"030345 -- (2002-) -- Atlantic and Pacific bluefin tuna (Thunnus thynnus, Thunnus orientalis)",030345,"Atlantic and Pacific bluefin tunas (Thunnus thynnus, Thunnus orientalis)"
030346,030346 -- (2002-) -- Southern bluefin tuna (Thunnus maccoyii),030346,Southern bluefin tunas (Thunnus maccoyii)
030349,030349 --  -- Other,030349,Other
030351,"030351 -- (2007-) -- Herrings (Clupea harengus, Clupea pallasii)",030351,"Herrings (Clupea harengus, Clupea pallasii)"
030353,"030353 -- (2012-) -- Sardines (Sardina pilchardus, Sardinops spp.), sardinella (Sardinella spp.), brisling or sprats (Sprattus sprattus)",030353,"Sardines (Sardina pilchardus, Sardinops spp.), sardinella (Sardinella spp.), brisling or sprats (Sprattus sprattus)"
030354,"030354 -- (2012-) -- Mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus)",030354,"Mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus)"
030355,030355 -- (2012-) -- Jack and horse mackerel (Trachurus spp.),030355,Jack and horse mackerel (Trachurus spp.)
030356,030356 -- (2012-) -- Cobia (Rachycentron canadum),030356,Cobia (Rachycentron canadum)
030357,030357 -- (2012-) -- Swordfish (Xiphias gladius),030357,Swordfish (Xiphias gladius)
030363,"030363 -- (2012-) -- Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus)",030363,"Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus)"
030364,030364 -- (2012-) -- Haddock (Melanogrammus aeglefinus),030364,Haddock (Melanogrammus aeglefinus)
030365,030365 -- (2012-) -- Coalfish (Pollachius virens),030365,Coalfish (Pollachius virens)
030366,"030366 -- (2012-) -- Hake (Merluccius spp., Urophycis spp.)",030366,"Hake (Merluccius spp., Urophycis spp.)"
030367,030367 -- (2012-) -- Alaska pollock (Theragra chalcogramma),030367,Alaska Pollack (Theragra chalcogramma)
030368,"030368 -- (2012-) -- Blue whiting (Micromesistius poutassou, Micromesistius australis)",030368,"Blue whitings (Micromesistius poutassou, Micromesistius australis)"
030369,030369 -- (2012-) -- Other,030369,Other
030381,030381 -- (2012-) -- Dogfish and other sharks,030381,Dogfish and other sharks
030382,030382 -- (2012-) -- Rays and skates (Rajidae),030382,Rays and skates (Rajidae)
030383,030383 -- (2012-) -- Toothfish (Dissostichus spp.),030383,Toothfish (Dissostichus spp.)
030384,030384 -- (2012-) -- Sea bass (Dicentrarchus spp.),030384,Seabass (Dicentrarchus spp.)
030389,030389 -- (2012-) -- Other,030389,Other
030390,030390 -- (2012-2016) - Livers and roes,030390,Livers and roes
030431,030431 -- (2012-) -- Tilapias (Oreochromis spp.),030431,Tilapias (Oreochromis spp.)
030432,"030432 -- (2012-) -- Catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.)",030432,"Catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.)"
030433,030433 -- (2012-) -- Nile perch (Lates niloticus),030433,Nile Perch (Lates niloticus)
030439,030439 -- (2012-) -- Other,030439,Other
030441,"030441 -- (2012-) -- Pacific salmon (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus), Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho)",030441,"Pacific salmon (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus), Atlantic salmon (Salmo salar) and Danube salmon (Huchohucho)"
030442,"030442 -- (2012-) -- Trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster)",030442,"Trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster)"
030443,"030443 -- (2012-) -- Flat fish (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae and Citharidae)",030443,"Flat fish (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae and Citharidae)"
030444,"030444 -- (2012-) -- Fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae",030444,"Fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae"
030445,030445 -- (2012-) -- Swordfish (Xiphias gladius),030445,Swordfish (Xiphias gladius)
030446,030446 -- (2012-) -- Toothfish (Dissostichus spp.),030446,Toothfish (Dissostichus spp.)
030449,030449 -- (2012-) -- Other,030449,Other
030451,"030451 -- (2012-) -- Tilapias (Oreochromis spp.), catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), carp (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., ",030451,"Tilapias (Oreochromis spp.), catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), carp (Cyprinus carpio, Carassius carassius, Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus), eels (Anguilla sp"
030452,030452 -- (2012-) -- Salmonidae,030452,Salmonidae
030453,"030453 -- (2012-) -- Fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae",030453,"Fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae"
030454,030454 -- (2012-) -- Swordfish (Xiphias gladius),030454,Swordfish (Xiphias gladius)
030455,030455 -- (2012-) -- Toothfish (Dissostichus spp.),030455,Toothfish (Dissostichus spp.)
030459,030459 -- (2012-) -- Other,030459,Other
030461,030461 -- (2012-) -- Tilapias (Oreochromis spp.),030461,Tilapias (Oreochromis spp.)
030462,"030462 -- (2012-) -- Catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.)",030462,"Catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.)"
030463,030463 -- (2012-) -- Nile perch (Lates niloticus),030463,Nile Perch (Lates niloticus)
030469,030469 -- (2012-) -- Other,030469,Other
030471,"030471 -- (2012-) -- Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus)",030471,"Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus)"
030472,030472 -- (2012-) -- Haddock (Melanogrammus aeglefinus),030472,Haddock (Melanogrammus aeglefinus)
030473,030473 -- (2012-) -- Coalfish (Pollachius virens),030473,Coalfish (Pollachius virens)
030474,"030474 -- (2012-) -- Hake (Merluccius spp., Urophycis spp.)",030474,"Hake (Merluccius spp., Urophycis spp.)"
030475,030475 -- (2012-) -- Alaska pollock (Theragra chalcogramma),030475,Alaska Pollack (Theragra chalcogramma)
030479,030479 -- (2012-) -- Other,030479,Other
030481,"030481 -- (2012-) -- Pacific salmon (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus), Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho)",030481,"Pacific salmon (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus), Atlantic salmon (Salmo salar) and Danube salmon (Huchohucho)"
030482,"030482 -- (2012-) -- Trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster)",030482,"Trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster)"
030483,"030483 -- (2012-) -- Flat fish (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae and Citharidae)",030483,"Flat fish (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae and Citharidae)"
030484,030484 -- (2012-) -- Swordfish (Xiphias gladius),030484,Swordfish (Xiphias gladius)
030485,030485 -- (2012-) -- Toothfish (Dissostichus spp.),030485,Toothfish (Dissostichus spp.)
030486,"030486 -- (2012-) -- Herrings (Clupea harengus, Clupea pallasii)",030486,"Herrings (Clupea harengus, Clupea pallasii)"
030487,"030487 -- (2012-) -- Tuna (of the genus Thunnus), skipjack or stripe-bellied bonito (Euthynnus (Katsuwonus) pelamis)",030487,"Tunas (of the genus Thunnus), skipjack or stripe-bellied bonito (Euthynnus (Katsuwonus) pelamis)"
030489,030489 -- (2012-) -- Other,030489,Other
030491,030491 -- (2007-) -- Swordfish (Xiphias gladius),030491,Swordfish (Xiphias gladius)
030492,030492 -- (2007-) -- Toothfish (Dissostichus spp.),030492,Toothfish (Dissostichus spp.)
030493,"030493 -- (2012-) -- Tilapias (Oreochromis spp.), catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), carp (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., ",030493,"Tilapias (Oreochromis spp.), catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), carp (Cyprinus carpio, Carassius carassius, Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus), eels (Anguilla sp"
